date,count
2022-09-16,1496
2022-09-17,1472
2022-09-18,2471
2022-09-19,3927
2022-09-20,5120
2022-09-21,3956
2022-09-22,7023
2022-09-23,6488
2022-09-24,20926
2022-09-25,22218
2022-09-26,20425
2022-09-27,45838
2022-09-28,61047
2022-09-29,65390
2022-09-30,65247
2022-10-01,173876
2022-10-02,211333
2022-10-03,367788
2022-10-04,411563
2022-10-05,761319
2022-10-06,826558
2022-10-07,754322
2022-10-08,885650
2022-10-09,525930
2022-10-10,333947
2022-10-11,252015
2022-10-12,541266
2022-10-13,437147
2022-10-14,425124
2022-10-15,227771
2022-10-16,183955
2022-10-17,134584
2022-10-18,201308
2022-10-19,233403
2022-10-20,172889
2022-10-21,164366
2022-10-22,222762
2022-10-23,121765
2022-10-24,131704
2022-10-25,150863
2022-10-26,95340
2022-10-27,107970
2022-10-28,118615
2022-10-29,114194
2022-10-30,46125
2022-10-31,92015
2022-11-01,57901
2022-11-02,40041
2022-11-03,45830
2022-11-04,63990
2022-11-05,38832
2022-11-06,29336
2022-11-07,36302
2022-11-08,21450
2022-11-09,15101
2022-11-10,14922
2022-11-11,13484
2022-11-12,12664
2022-11-13,11229
2022-11-14,18146
2022-11-15,9813
2022-11-16,11012
2022-11-17,16458
2022-11-18,10384
2022-11-19,11263
2022-11-20,5868
2022-11-21,5468
2022-11-22,3865
2022-11-23,4325
2022-11-24,4555
2022-11-25,3584
2022-11-26,2820
2022-11-27,2690
2022-11-28,3768
2022-11-29,2506
2022-11-30,2775
2022-12-01,2915
2022-12-02,3129
2022-12-03,1283
2022-12-04,2797
2022-12-05,2196
2022-12-06,1025
2022-12-07,2190
2022-12-08,2050
2022-12-09,732
2022-12-10,917
2022-12-11,1396
2022-12-12,1207
2022-12-13,599
2022-12-14,561
2022-12-15,623
2022-12-16,638
2022-12-17,656
2022-12-18,461
2022-12-19,462
2022-12-20,542
2022-12-21,211
2022-12-22,267
2022-12-23,390
2022-12-24,406
2022-12-25,266
2022-12-26,246
2022-12-27,131
2022-12-28,185
2022-12-29,182
2022-12-30,118
2022-12-31,111
2023-01-01,114
2023-01-02,61
2023-01-03,88
2023-01-04,68
2023-01-05,72
2023-01-06,49
2023-01-07,99
2023-01-08,71
2023-01-09,69
2023-01-10,68
2023-01-11,48
2023-01-12,25
2023-01-13,40
